emergency_id,timestamp,assigned_ambulance,eta_min,status
454,2025-01-01 01:11:00,5,4.761818183333333,Assigned
443,2025-01-01 02:42:00,14,6.8028037333333335,Assigned
406,2025-01-01 04:51:00,10,2.6186813333333334,Assigned
259,2025-01-01 05:39:00,13,5.1464646499999995,Assigned
334,2025-01-01 06:58:00,15,3.7,Assigned
273,2025-01-01 07:27:00,2,6.072277233333334,Assigned
456,2025-01-01 10:08:00,7,3.02427185,Assigned
275,2025-01-01 12:29:00,13,5.297979783333333,Assigned
475,2025-01-01 15:03:00,3,4.0673076833333335,Assigned
269,2025-01-01 15:23:00,10,4.291208783333333,Assigned
448,2025-01-01 17:47:00,3,2.96634615,Assigned
48,2025-01-01 23:19:00,4,2.933684216666667,Assigned
297,2025-01-02 00:49:00,3,6.269230783333333,Assigned
219,2025-01-02 01:18:00,15,7.7304762,Assigned
53,2025-01-02 04:09:00,4,3.4221052666666667,Assigned
145,2025-01-02 06:47:00,4,4.516842116666667,Assigned
205,2025-01-02 06:59:00,6,0.5,Assigned
79,2025-01-02 07:37:00,13,3.978787883333333,Assigned
177,2025-01-02 10:00:00,10,9.994505483333334,Assigned
241,2025-01-02 10:29:00,3,3.7980769166666666,Assigned
292,2025-01-02 10:39:00,13,2.3989898833333334,Assigned
424,2025-01-02 11:42:00,6,9.711009166666665,Assigned
178,2025-01-02 14:00:00,7,4.94660195,Assigned
495,2025-01-02 14:37:00,6,0.5,Assigned
39,2025-01-02 16:38:00,15,2.44285715,Assigned
230,2025-01-02 18:30:00,7,8.174757266666667,Assigned
114,2025-01-02 20:48:00,3,4.069230766666666,Assigned
163,2025-01-02 23:50:00,12,0.5,Assigned
493,2025-01-03 00:06:00,1,3.604,Assigned
400,2025-01-03 00:48:00,1,5.7,Assigned
327,2025-01-03 01:56:00,9,0.5,Assigned
9,2025-01-03 02:14:00,1,3.972,Assigned
447,2025-01-03 04:52:00,3,4.45384615,Assigned
22,2025-01-03 05:34:00,3,5.176923066666666,Assigned
221,2025-01-03 07:12:00,15,0.5,Assigned
120,2025-01-03 09:11:00,7,5.61650485,Assigned
55,2025-01-03 09:14:00,9,0.5,Assigned
110,2025-01-03 13:21:00,4,3.1842105333333333,Assigned
46,2025-01-03 18:08:00,9,8.245192300000001,Assigned
308,2025-01-03 18:34:00,3,2.0144230833333334,Assigned
283,2025-01-03 19:27:00,3,13.84134615,Assigned
276,2025-01-03 19:51:00,15,8.828571433333334,Assigned_Late
162,2025-01-03 20:55:00,8,4.363829783333333,Assigned
444,2025-01-03 21:10:00,12,4.609473683333333,Assigned
291,2025-01-03 21:38:00,4,2.6473684166666667,Assigned
335,2025-01-04 02:14:00,4,3.1778947333333334,Assigned
461,2025-01-04 02:43:00,7,4.9737864,Assigned
472,2025-01-04 05:33:00,12,4.078947366666666,Assigned
