emergency_id,urgency_level,assigned_ambulance,ambulance_free_at_what_time,location_node,ambulance_start_node,eta,status,path_length_nodes,path
454,High,5,2025-01-01 01:15:34,61,8,4.581818181818181,Assigned,3,"8,110,61"
443,Critical,3,2025-01-01 02:51:59,93,66,9.995192307692307,Assigned,4,"66,24,10,93"
406,High,14,2025-01-01 04:52:45,26,7,1.7663551401869155,Assigned,2,"7,26"
259,High,13,2025-01-01 05:45:04,52,75,6.075757575757575,Assigned,4,"75,34,42,52"
334,Low,15,2025-01-01 07:01:15,17,71,3.257142857142857,Assigned,4,"71,1,58,17"
273,Moderate,2,2025-01-01 07:32:09,49,60,5.153465346534654,Assigned,3,"60,88,49"
456,Critical,7,2025-01-01 10:11:24,89,72,3.4077669902912615,Assigned,3,"72,38,89"
275,Moderate,13,2025-01-01 12:34:08,83,52,5.136363636363637,Assigned,4,"52,42,34,83"
475,Moderate,14,2025-01-01 15:07:29,27,26,4.485981308411215,Assigned,3,"26,7,27"
269,Moderate,10,2025-01-01 15:26:46,101,31,3.7747252747252746,Assigned,3,"31,87,101"
448,Critical,14,2025-01-01 17:48:02,118,27,1.0373831775700935,Assigned,2,"27,118"
48,Critical,4,2025-01-01 23:21:06,100,5,2.1,Assigned,2,"5,100"
297,Moderate,14,2025-01-02 00:56:14,59,118,7.247663551401868,Assigned,6,"118,27,90,60,66,59"
219,Critical,14,2025-01-02 01:26:15,50,59,8.257009345794394,Assigned,4,"59,56,63,50"
53,High,15,2025-01-02 04:11:18,1,17,2.314285714285714,Assigned,3,"17,58,1"
145,Moderate,15,2025-01-02 06:50:06,119,1,3.1,Assigned,3,"1,58,119"
205,Critical,6,2025-01-02 06:59:00,5,5,0.0,Assigned,1,5
79,High,13,2025-01-02 07:40:10,34,83,3.181818181818182,Assigned,2,"83,34"
177,High,10,2025-01-02 10:10:41,108,101,10.697802197802199,Assigned,3,"101,87,108"
241,Critical,15,2025-01-02 10:36:54,24,119,7.914285714285715,Assigned,5,"119,58,17,19,24"
292,Moderate,13,2025-01-02 10:40:57,52,34,1.9545454545454546,Assigned,3,"34,42,52"
424,Moderate,6,2025-01-02 11:51:23,28,5,9.399082568807339,Assigned,5,"5,40,76,8,28"
178,High,5,2025-01-02 14:04:34,8,61,4.581818181818181,Assigned,3,"61,110,8"
495,Low,6,2025-01-02 14:37:00,28,28,0.0,Assigned,1,28
39,Moderate,14,2025-01-02 16:39:34,63,50,1.5700934579439254,Assigned,2,"50,63"
230,High,5,2025-01-02 18:35:21,91,8,5.35909090909091,Assigned,5,"8,76,40,95,91"
114,Low,15,2025-01-02 20:53:29,116,24,5.485714285714286,Assigned,4,"24,32,106,116"
163,High,12,2025-01-02 23:50:00,113,113,0.0,Assigned,1,113
493,Critical,1,2025-01-03 00:09:08,31,74,3.135,Assigned,2,"74,31"
400,Critical,13,2025-01-03 00:55:21,2,52,7.363636363636363,Assigned,5,"52,42,34,75,2"
327,High,9,2025-01-03 01:56:00,94,94,0.0,Assigned,1,94
9,Moderate,1,2025-01-03 02:17:26,101,31,3.435,Assigned,3,"31,87,101"
447,Critical,4,2025-01-03 04:58:15,12,100,6.252631578947368,Assigned,4,"100,20,7,12"
22,Low,15,2025-01-03 05:34:55,106,116,0.9285714285714286,Assigned,2,"116,106"
221,Moderate,14,2025-01-03 07:12:00,63,63,0.0,Assigned,1,63
120,Moderate,4,2025-01-03 09:14:30,8,12,3.505263157894737,Assigned,3,"12,110,8"
55,High,9,2025-01-03 09:14:00,94,94,0.0,Assigned,1,94
110,Moderate,2,2025-01-03 13:27:03,64,49,6.0594059405940595,Assigned,4,"49,14,33,64"
46,Low,9,2025-01-03 18:14:00,35,94,6.014423076923077,Assigned,2,"94,35"
308,High,15,2025-01-03 18:34:51,80,106,0.8571428571428571,Assigned,2,"106,80"
283,High,13,2025-01-03 19:37:17,73,2,10.287878787878785,Assigned,3,"2,60,73"
276,Critical,14,2025-01-03 19:57:41,59,63,6.686915887850468,Assigned,3,"63,56,59"
162,Low,8,2025-01-03 21:00:32,4,102,5.537234042553192,Assigned,3,"102,69,4"
444,Low,2,2025-01-03 21:15:03,27,64,5.064356435643564,Assigned,4,"64,33,118,27"
291,Critical,2,2025-01-03 21:42:31,119,27,4.52970297029703,Assigned,4,"27,118,33,119"
335,High,2,2025-01-04 02:17:13,1,119,3.2227722772277225,Assigned,3,"119,58,1"
461,Critical,7,2025-01-04 02:49:23,78,89,6.393203883495144,Assigned,4,"89,38,72,78"
472,Critical,15,2025-01-04 05:38:42,46,80,5.7142857142857135,Assigned,3,"80,106,46"
226,Low,2,2025-01-04 08:23:43,64,1,5.717821782178219,Assigned,5,"1,58,119,33,64"
195,High,4,2025-01-04 08:35:08,40,8,2.1473684210526316,Assigned,3,"8,76,40"
2,Low,4,2025-01-04 09:46:54,100,40,3.9157894736842107,Assigned,3,"40,5,100"
176,Low,15,2025-01-04 09:57:00,46,46,0.0,Assigned,1,46
102,Critical,15,2025-01-04 11:32:36,67,46,7.6000000000000005,Assigned,4,"46,106,32,67"
181,High,15,2025-01-04 11:58:00,67,67,0.0,Assigned,1,67
374,Moderate,15,2025-01-04 12:03:03,32,67,2.0571428571428574,Assigned,2,"67,32"
353,Moderate,4,2025-01-04 12:04:37,20,100,2.6210526315789475,Assigned,2,"100,20"
129,Moderate,10,2025-01-04 12:17:00,108,108,0.0,Assigned,1,108
171,Low,2,2025-01-04 14:15:40,77,64,3.6683168316831685,Assigned,3,"64,33,77"
479,High,8,2025-01-04 14:27:59,103,4,9.989361702127662,Assigned,4,"4,69,97,103"
148,Critical,15,2025-01-04 14:32:00,32,32,0.0,Assigned,1,32
347,Low,10,2025-01-04 18:18:00,108,108,0.0,Assigned,1,108
370,High,13,2025-01-04 20:30:00,73,73,0.0,Assigned,1,73
413,High,5,2025-01-04 20:37:30,40,91,3.504545454545455,Assigned,3,"91,95,40"
430,Low,5,2025-01-04 23:03:06,110,40,3.1090909090909093,Assigned,4,"40,76,8,110"
99,Low,10,2025-01-05 00:15:00,108,108,0.0,Assigned,1,108
286,Low,8,2025-01-05 03:19:00,103,103,0.0,Assigned,1,103
70,Critical,9,2025-01-05 03:44:36,11,35,6.605769230769231,Assigned,4,"35,96,3,11"
82,High,5,2025-01-05 04:15:58,48,110,2.972727272727273,Assigned,4,"110,8,76,48"
317,High,4,2025-01-05 05:05:21,6,20,6.363157894736842,Assigned,4,"20,7,12,6"
126,Low,5,2025-01-05 06:08:11,65,48,4.186363636363636,Assigned,4,"48,76,36,65"
345,Low,1,2025-01-05 06:13:41,48,101,6.69,Assigned,4,"101,39,86,48"
215,Critical,2,2025-01-05 09:48:41,37,77,4.693069306930693,Assigned,4,"77,33,14,37"
65,Critical,5,2025-01-05 12:24:33,109,65,5.5636363636363635,Assigned,4,"65,90,60,109"
45,Moderate,4,2025-01-05 12:35:40,69,6,4.673684210526316,Assigned,2,"6,69"
464,High,9,2025-01-05 13:47:45,96,11,3.7644230769230766,Assigned,3,"11,3,96"
302,Critical,1,2025-01-05 14:19:59,57,48,7.995,Assigned,5,"48,0,42,52,57"
396,Moderate,4,2025-01-05 18:18:30,53,69,7.5,Assigned,2,"69,53"
19,High,1,2025-01-05 20:36:59,48,57,7.995,Assigned,5,"57,52,42,0,48"
35,High,5,2025-01-05 22:22:34,60,109,2.577272727272727,Assigned,2,"109,60"
300,Critical,8,2025-01-06 03:15:00,103,103,0.0,Assigned,1,103
56,Critical,5,2025-01-06 04:08:00,60,60,0.0,Assigned,1,60
411,Moderate,7,2025-01-06 04:54:15,45,78,8.257281553398057,Assigned,4,"78,72,38,45"
77,Moderate,13,2025-01-06 05:29:00,73,73,0.0,Assigned,1,73
492,High,5,2025-01-06 06:04:25,94,60,6.422727272727273,Assigned,4,"60,16,85,94"
285,High,1,2025-01-06 07:03:33,91,48,6.555,Assigned,5,"48,76,40,95,91"
