emergency_id,urgency_level,assigned_ambulance,ambulance_free_at_what_time,location_node,ambulance_start_node,eta,status,path_length_nodes,path
454,High,5,2025-01-01 01:16:02,61,8,5.04,Assigned,3,"8,110,61"
443,Critical,3,2025-01-01 02:52:23,93,66,10.39,Assigned,4,"66,24,10,93"
406,High,14,2025-01-01 04:52:53,26,7,1.89,Assigned,2,"7,26"
259,High,13,2025-01-01 05:45:00,52,75,6.01,Assigned,4,"75,34,42,52"
334,Low,15,2025-01-01 07:01:25,17,71,3.42,Assigned,4,"71,1,58,17"
273,Moderate,2,2025-01-01 07:32:12,49,60,5.21,Assigned,3,"60,88,49"
456,Critical,7,2025-01-01 10:11:30,89,72,3.51,Assigned,3,"72,38,89"
275,Moderate,13,2025-01-01 12:34:05,83,52,5.09,Assigned,4,"52,42,34,83"
475,Moderate,14,2025-01-01 15:07:48,27,26,4.8,Assigned,3,"26,7,27"
269,Moderate,10,2025-01-01 15:26:26,101,31,3.44,Assigned,3,"31,87,101"
448,Critical,14,2025-01-01 17:48:06,118,27,1.11,Assigned,2,"27,118"
48,Critical,4,2025-01-01 23:20:59,100,5,2.0,Assigned,2,"5,100"
297,Moderate,14,2025-01-02 00:56:45,59,118,7.75,Assigned,6,"118,27,90,60,66,59"
219,Critical,14,2025-01-02 01:26:50,50,59,8.84,Assigned,4,"59,56,63,50"
53,High,15,2025-01-02 04:11:25,1,17,2.43,Assigned,3,"17,58,1"
145,Moderate,15,2025-01-02 06:50:15,119,1,3.25,Assigned,3,"1,58,119"
205,Critical,6,2025-01-02 06:59:00,5,5,0.0,Assigned,1,5
79,High,13,2025-01-02 07:40:09,34,83,3.15,Assigned,2,"83,34"
177,High,10,2025-01-02 10:09:44,108,101,9.73,Assigned,3,"101,87,108"
241,Critical,15,2025-01-02 10:37:18,24,119,8.31,Assigned,5,"119,58,17,19,24"
292,Moderate,13,2025-01-02 10:40:56,52,34,1.94,Assigned,3,"34,42,52"
424,Moderate,11,2025-01-02 11:50:31,28,40,8.52,Assigned,4,"40,76,8,28"
178,High,6,2025-01-02 14:03:45,8,5,3.77,Assigned,4,"5,40,76,8"
495,Low,11,2025-01-02 14:37:00,28,28,0.0,Assigned,1,28
39,Moderate,14,2025-01-02 16:39:40,63,50,1.68,Assigned,2,"50,63"
230,High,6,2025-01-02 18:35:53,91,8,5.9,Assigned,5,"8,76,40,95,91"
114,Low,15,2025-01-02 20:53:45,116,24,5.76,Assigned,4,"24,32,106,116"
163,High,12,2025-01-02 23:50:00,113,113,0.0,Assigned,1,113
493,Critical,1,2025-01-03 00:09:08,31,74,3.13,Assigned,2,"74,31"
400,Critical,13,2025-01-03 00:55:17,2,52,7.29,Assigned,5,"52,42,34,75,2"
327,High,9,2025-01-03 01:56:00,94,94,0.0,Assigned,1,94
9,Moderate,1,2025-01-03 02:17:26,101,31,3.44,Assigned,3,"31,87,101"
447,Critical,5,2025-01-03 04:57:36,12,61,5.61,Assigned,3,"61,110,12"
22,Low,15,2025-01-03 05:34:58,106,116,0.98,Assigned,2,"116,106"
221,Moderate,14,2025-01-03 07:12:00,63,63,0.0,Assigned,1,63
120,Moderate,5,2025-01-03 09:14:19,8,12,3.33,Assigned,3,"12,110,8"
